"Specifically, I focus on Oracle's Value Chain Execution suite including warehousing, transportation, and global trade compliance.",1
"Cloud Sales Commercial Accounts, North American System Integrators, and Oracle Partners.",1
Driving social selling awareness within Oracle's North America inside sale team.,1
Member of LinkedIn Sales Navigator's Customer Advisory Board for North America.,1
"Exceed revenue targets by assisting customers in their business transformations using the most comprehensive and integrated portfolio of Oracle cloud solutions covering SaaSPaaSIaaS scenarios for modern business applications Sales, Marketing, Service, Social, Commerce, CPQ, CRM, ERP, HCM, EPM, PLM  Prospect, identify, generate and qualify opportunities among named accounts in Washington DC Metro.",1
Manage an UpMarket team of 9 Analytics and Big Data Cloud Sales Representatives covering the East Coast,1
Working alongside top leaders in Latin America to transform companies into CustomerCentric Enterprises.,1
Part of a team of Service Cloud specialists for the commercial business unit across North America with a goal of making Service Cloud the next multibillion dollar cloud at Salesforce.,1
Responsible for Strategic Enterprise Accounts in SoCal and Vegas,1
Responsible for new sales across the Southeastern United States.,1
Small Business Consultant for San Francisco Bay Area,1
Sales Manager focused on the Workday Financial and HCM applications for the Chicago area.,1
"Sales Manager focused on the Workday HCM, Financial and Big Data applications for KS, MO, NE, IA.",1
"Lead our New York Metro Large Enterprise and Major Accounts sales team, focused on working with some of Workday's largest prospective customers.",1
"Hire, Develop, and Lead a team of Account Executives focused on net new selling to Large and Enterprise Accounts located in Michigan, Indiana, and Kentucky.",1
   FY18 Q3 North America Application's Solution Engineer MVP,1
"I've had the chance to network and work alongside different channels in the industry such as B2B, Government, and Marketing,",1
"In addition to creating the company infrastructure and hiring key employees, I  brought in clients from all across the U.S.",1
"Currently leading Workday's Commercial Sales team for Large Enterprise Accounts from New England to Washington, DC.",1
"Account Manager, North American Cloud Sales",1
"Senior Regional Sales Executive - Miami, FL",1
Regional Sales Executive | National Accounts,1
"Regional Sales Director, East - Large Enterprise",1
FY18  130% of plan FY17  172% of plan FY16  110% of plan FY15  196% of plan,0
Responsible for partnering organizations with Oracle's modern HCM in the cloud.,0
"Maintain tight control over financial management and business performance, while supporting and developing your most important assets:  Your people.",0
"Modern HCM utilizes powerful, personalized tools to help organizations find and retain the best talent.",0
"It increases efficiency by ensuring its management system is easy, flexible and accurate for the entire employee life cycle.",0
Facilitating the adoption and enablement of inbound demand generation sales programs Inbound Sales Program Management 2017.,0
Manage a team that optimizes marketing operations with sales around marketing lead generation.,0
"Enable SDRs teams around awareness of campaigns in market, how to execute and message.",0
Tracking results and working with marketing on feedback.,0
"Oracle Cloud HCM empowers organizations with easy to use tools that are personalized, social, deliver insights and cover the full employee lifecycle.",0
"Customer Data Management Cloud Service, Sales Cloud",0
"Application Sales Manager responsible for Oracle's broad portfolio of cloud and onpremise applications including: Oracle ERP, Oracle Enterprise Performance Management, Oracle HCM, Oracle Talent and Recruitment, Oracle PLM.",0
"Manage the full sales cycle from opportunity development, account strategy and resource allocation, to plan execution and CLevel contractual negotiations.",0
