I support Oracle's High Tech Accounts in the Western and Southwestern United States.,0
"Specifically, I focus on Oracle's Value Chain Execution suite including warehousing, transportation, and global trade compliance.",1
FY18  130% of plan FY17  172% of plan FY16  110% of plan FY15  196% of plan,2
"Cloud Sales Commercial Accounts, North American System Integrators, and Oracle Partners.",1
"Line of Business:  HGBU  Oracle Hospitality delivers fully integrated  hardware, software and hosted solutions customized to fit unique business requirements of the hospitality industry.",0
"Global and Enterprise Competitive Accounts  Sales Management and Account Execution  Representing Oracle Analytics and Big Data Cloud Platform Technologies    Understand and assist customers in upgrading their Executive and Operational Reporting  Demonstrate and communicate expertise in Oracle Cloud Services for IaaS, PaaS, DaaS & SaaS",0
Responsible for partnering organizations with Oracle's modern HCM in the cloud.,2
"Maintain tight control over financial management and business performance, while supporting and developing your most important assets:  Your people.",2
"Modern HCM utilizes powerful, personalized tools to help organizations find and retain the best talent.",2
"It increases efficiency by ensuring its management system is easy, flexible and accurate for the entire employee life cycle.",2
Driving social selling awareness within Oracle's North America inside sale team.,1
Facilitating the adoption and enablement of inbound demand generation sales programs Inbound Sales Program Management 2017.,2
Manage a team that optimizes marketing operations with sales around marketing lead generation.,2
"Enable SDRs teams around awareness of campaigns in market, how to execute and message.",2
Tracking results and working with marketing on feedback.,2
Member of LinkedIn Sales Navigator's Customer Advisory Board for North America.,1
Providing feedback on LinkedIn's current sales products and roadmap.,0
"Managing Security Cloud , Database & Identity Management  and Systems Management Log, IT and Security Analytics sales for the following Territories: 022010  052012  Higher Education, South East MD, NC, SC, GA, FL, WV, TN, MS, AL, LA 062012  052014  Healthcare, North Central MI, OH, IN, IL, WI, MN, ND, SD, IA 062014  052017  National, Central TX, OK, AR, KS, MN, NE 062017  Present  Healthcare, Central and West TX, LA, MN, ND, SD, NM, AZ, NV, CO, UT, MO, CA, OR, WA Product portfolio includes Database Security, Identity Governance, Access Management, Directory Services and System Management solutions.",3
At Oracle I was a member of the Oracle Cloud HCM team responsible for winning and managing largeenterprise accounts.,0
The Oracle Cloud HCM solutions are modern cloudbased software solutions for endtoend human capital management HCM.,0
"Oracle Cloud HCM empowers organizations with easy to use tools that are personalized, social, deliver insights and cover the full employee lifecycle.",2
"Customer Data Management Cloud Service, Sales Cloud",2
"Application Sales Manager responsible for Oracle's broad portfolio of cloud and onpremise applications including: Oracle ERP, Oracle Enterprise Performance Management, Oracle HCM, Oracle Talent and Recruitment, Oracle PLM.",2
"Manage the full sales cycle from opportunity development, account strategy and resource allocation, to plan execution and CLevel contractual negotiations.",2
Accelerate customers' cloud journey to realize their vision and strategy by leveraging the latest innovations from Oracle cloud.,2
"Exceed revenue targets by assisting customers in their business transformations using the most comprehensive and integrated portfolio of Oracle cloud solutions covering SaaSPaaSIaaS scenarios for modern business applications Sales, Marketing, Service, Social, Commerce, CPQ, CRM, ERP, HCM, EPM, PLM  Prospect, identify, generate and qualify opportunities among named accounts in Washington DC Metro.",1
"Lead a vteam of solution specialists, sales consultants, partners, business development, inside sales, marketing, consulting, pricing & licensing  Manage sales pipeline and forecast using Oracle Sales Cloud  Establish deep relationship with key stakeholders",2
Manage an UpMarket team of 9 Analytics and Big Data Cloud Sales Representatives covering the East Coast,1
Trabajando con los mejores lAderes de Latino America buscando transformarse en empresas centradas en el cliente.,2
Working alongside top leaders in Latin America to transform companies into CustomerCentric Enterprises.,1
Provides a 360degree view of the consumer while driving smarter retail through its suite of webbased commerce tools designed to personalize every customer interaction.,0
"Salesforce Marketing Cloud delivers accurate, predictive and actionable realtime end to end marketing tools that guide consumers through a personalized, omnichannel experience.",2
"Our team currently serves many of the world's most successful and respected brands, including P&G, Best Buy, Walmart, Nokia, Cisco, and Dell and has been 4 years named Most Innovative Company by Forbes Magazine.",0
"Lead Salesforces large, matrixed strategic account team for one of the worlds largest companies with globallyrecognized brands Enable the digital transformation and business success of my clients via the worlds leading sales, marketing, and service cloudbased solutions Drive innovation with leading edge capabilities including artificial intelligence AI, Internet of Things IoT, data analytics, and machine learning",2
Helping clients to succeed in running their business over the internet without the need for hardware and software.,2
Part of a team of Service Cloud specialists for the commercial business unit across North America with a goal of making Service Cloud the next multibillion dollar cloud at Salesforce.,1
Responsible for Strategic Enterprise Accounts in SoCal and Vegas,1
Account Executive responsible for educating my customers and prospects in the Financial Services Industry Insurance on the value that Salesforce as a unified platform can bring to their organization and solve their business challenges.,0
"In today's world, every industry is being disrupted and speed is the new currency of business.",2
"In order to stay ahead, Salesforce introduces the Customer Success Platform, allowing your business to connect to customers in a whole new way and innovate faster.",2
"Salesforce also puts aside 1% of its equity, 1% of its employees time, and 1% of its product to form the Salesforce.orgaTMs 111 integrated philanthropy model.",2
http:www.salesforce.org Achievements:  2016: 236% $2.1M Annual Quota  President's Club  2017: 208% $2.8M Annual Quota  President's Club,2
Enterprise Corporate Sales Account Executive specializing in Financial Services organizations located in the Midwest.,3
"Eager to create a vision on how enterprise cloud computing can help retain, grow, and transform the way clients engage with their customers.",2
